PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,Title,Family
59,1,2,female,5,27.75,S,Miss,4
60,0,3,male,11,46.9,S,Master,8
61,0,3,male,22,7.2292,C,Mr,1
63,0,1,male,45,83.475,S,Mr,2
64,0,3,male,4,27.9,S,Master,6
65,0,1,male,41,27.7208,C,Mr,1
66,1,3,male,26,15.2458,C,Master,3
67,1,2,female,29,10.5,S,Mrs,1
68,0,3,male,19,8.1583,S,Mr,1
69,1,3,female,17,7.925,S,Miss,7
70,0,3,male,26,8.6625,S,Mr,3
71,0,2,male,32,10.5,S,Mr,1
72,0,3,female,16,46.9,S,Miss,8
73,0,2,male,21,73.5,S,Mr,1
74,0,3,male,26,14.4542,C,Mr,2
75,1,3,male,32,56.4958,S,Mr,1
76,0,3,male,25,7.65,S,Mr,1
77,0,3,male,26,7.8958,S,Mr,1
78,0,3,male,26,8.05,S,Mr,1
79,1,2,male,0,29.0,S,Master,3
80,1,3,female,30,12.475,S,Miss,1
81,0,3,male,22,9.0,S,Mr,1
82,1,3,male,29,9.5,S,Mr,1
83,1,3,female,21,7.7875,Q,Miss,1
84,0,1,male,28,47.1,S,Mr,1
85,1,2,female,17,10.5,S,Miss,1
86,1,3,female,33,15.85,S,Mrs,4
87,0,3,male,16,34.375,S,Mr,5
88,0,3,male,26,8.05,S,Mr,1
89,1,1,female,23,263.0,S,Miss,6
90,0,3,male,24,8.05,S,Mr,1
91,0,3,male,29,8.05,S,Mr,1
92,0,3,male,20,7.8542,S,Mr,1
93,0,1,male,46,61.175,S,Mr,2
94,0,3,male,26,20.575,S,Mr,4
95,0,3,male,59,7.25,S,Mr,1
96,0,3,male,26,8.05,S,Mr,1
97,0,1,male,71,34.6542,C,Mr,1
98,1,1,male,23,63.3583,C,Mr,2
99,1,2,female,34,23.0,S,Mrs,2
100,0,2,male,34,26.0,S,Mr,2
101,0,3,female,28,7.8958,S,Miss,1
102,0,3,male,26,7.8958,S,Mr,1
103,0,1,male,21,77.2875,S,Mr,2
104,0,3,male,33,8.6542,S,Mr,1
105,0,3,male,37,7.925,S,Mr,3
106,0,3,male,28,7.8958,S,Mr,1
107,1,3,female,21,7.65,S,Miss,1
108,1,3,male,26,7.775,S,Mr,1
109,0,3,male,38,7.8958,S,Mr,1
110,1,3,female,21,24.15,Q,Miss,2
111,0,1,male,47,52.0,S,Mr,1
112,0,3,female,14,14.4542,C,Miss,2
113,0,3,male,22,8.05,S,Mr,1
114,0,3,female,20,9.825,S,Miss,2
115,0,3,female,17,14.4583,C,Miss,1
116,0,3,male,21,7.925,S,Mr,1
117,0,3,male,70,7.75,Q,Mr,1
118,0,2,male,29,21.0,S,Mr,2
119,0,1,male,24,247.5208,C,Mr,2
120,0,3,female,2,31.275,S,Miss,7
121,0,2,male,21,73.5,S,Mr,3
122,0,3,male,26,8.05,S,Mr,1
123,0,2,male,32,30.0708,C,Mr,2
124,1,2,female,32,13.0,S,Miss,1
125,0,1,male,54,77.2875,S,Mr,2
126,1,3,male,12,11.2417,C,Master,2
127,0,3,male,26,7.75,Q,Mr,1
128,1,3,male,24,7.1417,S,Mr,1
129,1,3,female,21,22.3583,C,Miss,3
130,0,3,male,45,6.975,S,Mr,1
131,0,3,male,33,7.8958,C,Mr,1
132,0,3,male,20,7.05,S,Mr,1
133,0,3,female,47,14.5,S,Mrs,2
134,1,2,female,29,26.0,S,Mrs,2
135,0,2,male,25,13.0,S,Mr,1
136,0,2,male,23,15.0458,C,Mr,1
137,1,1,female,19,26.2833,S,Miss,3
138,0,1,male,37,53.1,S,Mr,2
139,0,3,male,16,9.2167,S,Mr,1
140,0,1,male,24,79.2,C,Mr,1
141,0,3,female,21,15.2458,C,Mrs,3
142,1,3,female,22,7.75,S,Miss,1
143,1,3,female,24,15.85,S,Mrs,2
144,0,3,male,19,6.75,Q,Mr,1
145,0,2,male,18,11.5,S,Mr,1
146,0,2,male,19,36.75,S,Mr,3
147,1,3,male,27,7.7958,S,Mr,1
148,0,3,female,9,34.375,S,Miss,5
149,0,2,male,36,26.0,S,Mr,3
150,0,2,male,42,13.0,S,Rev,1
151,0,2,male,51,12.525,S,Rev,1
152,1,1,female,22,66.6,S,Mrs,2
153,0,3,male,55,8.05,S,Mr,1
154,0,3,male,40,14.5,S,Mr,3
155,0,3,male,26,7.3125,S,Mr,1
156,0,1,male,51,61.3792,C,Mr,2
157,1,3,female,16,7.7333,Q,Miss,1
158,0,3,male,30,8.05,S,Mr,1
159,0,3,male,26,8.6625,S,Mr,1
160,0,3,male,26,69.55,S,Master,11
161,0,3,male,44,16.1,S,Mr,2
162,1,2,female,40,15.75,S,Mrs,1
163,0,3,male,26,7.775,S,Mr,1
164,0,3,male,17,8.6625,S,Mr,1
165,0,3,male,1,39.6875,S,Master,6
166,1,3,male,9,20.525,S,Master,3
167,1,1,female,34,55.0,S,Mrs,2
168,0,3,female,45,27.9,S,Mrs,6
169,0,1,male,41,25.925,S,Mr,1
170,0,3,male,28,56.4958,S,Mr,1
171,0,1,male,61,33.5,S,Mr,1
172,0,3,male,4,29.125,Q,Master,6
173,1,3,female,1,11.1333,S,Miss,3
174,0,3,male,21,7.925,S,Mr,1
175,0,1,male,56,30.6958,C,Mr,1
176,0,3,male,18,7.8542,S,Mr,3
177,0,3,male,26,25.4667,S,Master,5
178,0,1,female,50,28.7125,C,Miss,1
179,0,2,male,30,13.0,S,Mr,1
180,0,3,male,36,0.0,S,Mr,1
181,0,3,female,21,69.55,S,Miss,11
182,0,2,male,30,15.05,C,Mr,1
183,0,3,male,9,31.3875,S,Master,7
184,1,2,male,1,39.0,S,Master,4
185,1,3,female,4,22.025,S,Miss,3
186,0,1,male,41,50.0,S,Mr,1
187,1,3,female,21,15.5,Q,Mrs,2
188,1,1,male,45,26.55,S,Mr,1
189,0,3,male,40,15.5,Q,Mr,3
190,0,3,male,36,7.8958,S,Mr,1
191,1,2,female,32,13.0,S,Mrs,1
192,0,2,male,19,13.0,S,Mr,1
193,1,3,female,19,7.8542,S,Miss,2
194,1,2,male,3,26.0,S,Master,3
195,1,1,female,44,27.7208,C,Mrs,1
196,1,1,female,58,146.5208,C,Miss,1
197,0,3,male,26,7.75,Q,Mr,1
198,0,3,male,42,8.4042,S,Mr,2
199,1,3,female,21,7.75,Q,Miss,1
200,0,2,female,24,13.0,S,Miss,1
201,0,3,male,28,9.5,S,Mr,1
202,0,3,male,26,69.55,S,Mr,11
203,0,3,male,34,6.4958,S,Mr,1
204,0,3,male,45,7.225,C,Mr,1
205,1,3,male,18,8.05,S,Mr,1
206,0,3,female,2,10.4625,S,Miss,2
207,0,3,male,32,15.85,S,Mr,2
208,1,3,male,26,18.7875,C,Mr,1
209,1,3,female,16,7.75,Q,Miss,1
210,1,1,male,40,31.0,C,Mr,1
211,0,3,male,24,7.05,S,Mr,1
212,1,2,female,35,21.0,S,Miss,1
213,0,3,male,22,7.25,S,Mr,1
214,0,2,male,30,13.0,S,Mr,1
215,0,3,male,26,7.75,Q,Mr,2
216,1,1,female,31,113.275,C,Miss,2
217,1,3,female,27,7.925,S,Miss,1
218,0,2,male,42,27.0,S,Mr,2
219,1,1,female,32,76.2917,C,Miss,1
220,0,2,male,30,10.5,S,Mr,1
221,1,3,male,16,8.05,S,Mr,1
222,0,2,male,27,13.0,S,Mr,1
223,0,3,male,51,8.05,S,Mr,1
224,0,3,male,26,7.8958,S,Mr,1
225,1,1,male,38,90.0,S,Mr,2
226,0,3,male,22,9.35,S,Mr,1
227,1,2,male,19,10.5,S,Mr,1
228,0,3,male,20,7.25,S,Mr,1
229,0,2,male,18,13.0,S,Mr,1
230,0,3,female,21,25.4667,S,Miss,5
231,1,1,female,35,83.475,S,Mrs,2
232,0,3,male,29,7.775,S,Mr,1
233,0,2,male,59,13.5,S,Mr,1
234,1,3,female,5,31.3875,S,Miss,7
235,0,2,male,24,10.5,S,Mr,1
236,0,3,female,21,7.55,S,Miss,1
237,0,2,male,44,26.0,S,Mr,2
238,1,2,female,8,26.25,S,Miss,3
239,0,2,male,19,10.5,S,Mr,1
240,0,2,male,33,12.275,S,Mr,1
241,0,3,female,21,14.4542,C,Miss,2
242,1,3,female,21,15.5,Q,Miss,2
243,0,2,male,29,10.5,S,Mr,1
244,0,3,male,22,7.125,S,Mr,1
245,0,3,male,30,7.225,C,Mr,1
246,0,1,male,44,90.0,Q,Dr,3
247,0,3,female,25,7.775,S,Miss,1
248,1,2,female,24,14.5,S,Mrs,3
249,1,1,male,37,52.5542,S,Mr,3
250,0,2,male,54,26.0,S,Rev,2
251,0,3,male,26,7.25,S,Mr,1
252,0,3,female,29,10.4625,S,Mrs,3
253,0,1,male,62,26.55,S,Mr,1
254,0,3,male,30,16.1,S,Mr,2
255,0,3,female,41,20.2125,S,Mrs,3
256,1,3,female,29,15.2458,C,Mrs,3
257,1,1,female,34,79.2,C,Mrs,1
258,1,1,female,30,86.5,S,Miss,1
259,1,1,female,35,512.3292,C,Miss,1
260,1,2,female,50,26.0,S,Mrs,2
261,0,3,male,26,7.75,Q,Mr,1
262,1,3,male,3,31.3875,S,Master,7
263,0,1,male,52,79.65,S,Mr,3
264,0,1,male,40,0.0,S,Mr,1
265,0,3,female,21,7.75,Q,Miss,1
266,0,2,male,36,10.5,S,Mr,1
267,0,3,male,16,39.6875,S,Mr,6
268,1,3,male,25,7.775,S,Mr,2
269,1,1,female,58,153.4625,S,Mrs,2
270,1,1,female,35,135.6333,S,Miss,1
271,0,1,male,41,31.0,S,Mr,1
272,1,3,male,25,0.0,S,Mr,1
273,1,2,female,41,19.5,S,Mrs,2
274,0,1,male,37,29.7,C,Mr,2
275,1,3,female,21,7.75,Q,Miss,1
276,1,1,female,63,77.9583,S,Miss,2
277,0,3,female,45,7.75,S,Miss,1
278,0,2,male,30,0.0,S,Mr,1
279,0,3,male,7,29.125,Q,Master,6
280,1,3,female,35,20.25,S,Mrs,3
281,0,3,male,65,7.75,Q,Mr,1
282,0,3,male,28,7.8542,S,Mr,1
283,0,3,male,16,9.5,S,Mr,1
284,1,3,male,19,8.05,S,Mr,1
285,0,1,male,41,26.0,S,Mr,1
286,0,3,male,33,8.6625,C,Mr,1
287,1,3,male,30,9.5,S,Mr,1
288,0,3,male,22,7.8958,S,Mr,1
289,1,2,male,42,13.0,S,Mr,1
290,1,3,female,22,7.75,Q,Miss,1
291,1,1,female,26,78.85,S,Miss,1
292,1,1,female,19,91.0792,C,Mrs,2
293,0,2,male,36,12.875,C,Mr,1
294,0,3,female,24,8.85,S,Miss,1
295,0,3,male,24,7.8958,S,Mr,1
296,0,1,male,41,27.7208,C,Mr,1
297,0,3,male,23,7.2292,C,Mr,1
298,0,1,female,2,151.55,S,Miss,4
299,1,1,male,41,30.5,S,Mr,1
300,1,1,female,50,247.5208,C,Mrs,2
301,1,3,female,21,7.75,Q,Miss,1
302,1,3,male,26,23.25,Q,Mr,3
303,0,3,male,19,0.0,S,Mr,1
304,1,2,female,28,12.35,Q,Miss,1
305,0,3,male,26,8.05,S,Mr,1
306,1,1,male,0,151.55,S,Master,4
307,1,1,female,34,110.8833,C,Miss,1
308,1,1,female,17,108.9,C,Mrs,2
309,0,2,male,30,24.0,C,Mr,2
310,1,1,female,30,56.9292,C,Miss,1
311,1,1,female,24,83.1583,C,Miss,1
312,1,1,female,18,262.375,C,Miss,5
313,0,2,female,26,26.0,S,Mrs,3
314,0,3,male,28,7.8958,S,Mr,1
315,0,2,male,43,26.25,S,Mr,3
316,1,3,female,26,7.8542,S,Miss,1
317,1,2,female,24,26.0,S,Mrs,2
318,0,2,male,54,14.0,S,Dr,1
319,1,1,female,31,164.8667,S,Miss,3
320,1,1,female,40,134.5,C,Mrs,3
321,0,3,male,22,7.25,S,Mr,1
322,0,3,male,27,7.8958,S,Mr,1
323,1,2,female,30,12.35,Q,Miss,1
324,1,2,female,22,29.0,S,Mrs,3
325,0,3,male,26,69.55,S,Mr,11
326,1,1,female,36,135.6333,C,Miss,1
327,0,3,male,61,6.2375,S,Mr,1
328,1,2,female,36,13.0,S,Mrs,1
329,1,3,female,31,20.525,S,Mrs,3
330,1,1,female,16,57.9792,C,Miss,2
331,1,3,female,21,23.25,Q,Miss,3
332,0,1,male,45,28.5,S,Mr,1
333,0,1,male,38,153.4625,S,Mr,2
334,0,3,male,16,18.0,S,Mr,3
335,1,1,female,34,133.65,S,Mrs,2
336,0,3,male,26,7.8958,S,Mr,1
337,0,1,male,29,66.6,S,Mr,2
338,1,1,female,41,134.5,C,Miss,1
339,1,3,male,45,8.05,S,Mr,1
340,0,1,male,45,35.5,S,Mr,1
341,1,2,male,2,26.0,S,Master,3
342,1,1,female,24,263.0,S,Miss,6
343,0,2,male,28,13.0,S,Mr,1
344,0,2,male,25,13.0,S,Mr,1
345,0,2,male,36,13.0,S,Mr,1
346,1,2,female,24,13.0,S,Miss,1
347,1,2,female,40,13.0,S,Miss,1
348,1,3,female,21,16.1,S,Mrs,2
349,1,3,male,3,15.9,S,Master,3
350,0,3,male,42,8.6625,S,Mr,1
351,0,3,male,23,9.225,S,Mr,1
352,0,1,male,41,35.0,S,Mr,1
353,0,3,male,15,7.2292,C,Mr,3
354,0,3,male,25,17.8,S,Mr,2
355,0,3,male,26,7.225,C,Mr,1
356,0,3,male,28,9.5,S,Mr,1
357,1,1,female,22,55.0,S,Miss,2
358,0,2,female,38,13.0,S,Miss,1
359,1,3,female,21,7.8792,Q,Miss,1
360,1,3,female,21,7.8792,Q,Miss,1
361,0,3,male,40,27.9,S,Mr,6
362,0,2,male,29,27.7208,C,Mr,2
363,0,3,female,45,14.4542,C,Mrs,2
364,0,3,male,35,7.05,S,Mr,1
365,0,3,male,26,15.5,Q,Mr,2
366,0,3,male,30,7.25,S,Mr,1
367,1,1,female,60,75.25,C,Mrs,2
368,1,3,female,21,7.2292,C,Mrs,1
369,1,3,female,21,7.75,Q,Miss,1
370,1,1,female,24,69.3,C,Mme,1
371,1,1,male,25,55.4417,C,Mr,2
372,0,3,male,18,6.4958,S,Mr,2
373,0,3,male,19,8.05,S,Mr,1
374,0,1,male,22,135.6333,C,Mr,1
375,0,3,female,3,21.075,S,Miss,5
376,1,1,female,34,82.1708,C,Mrs,2
377,1,3,female,22,7.25,S,Miss,1
378,0,1,male,27,211.5,C,Mr,3
379,0,3,male,20,4.0125,C,Mr,1
380,0,3,male,19,7.775,S,Mr,1
381,1,1,female,42,227.525,C,Miss,1
382,1,3,female,1,15.7417,C,Miss,3
383,0,3,male,32,7.925,S,Mr,1
384,1,1,female,35,52.0,S,Mrs,2
385,0,3,male,26,7.8958,S,Mr,1
386,0,2,male,18,73.5,S,Mr,1
387,0,3,male,1,46.9,S,Master,8
388,1,2,female,36,13.0,S,Miss,1
389,0,3,male,26,7.7292,Q,Mr,1
390,1,2,female,17,12.0,C,Miss,1
391,1,1,male,36,120.0,S,Mr,4
392,1,3,male,21,7.7958,S,Mr,1
393,0,3,male,28,7.925,S,Mr,3
394,1,1,female,23,113.275,C,Miss,2
395,1,3,female,24,16.7,S,Mrs,3
396,0,3,male,22,7.7958,S,Mr,1
397,0,3,female,31,7.8542,S,Miss,1
398,0,2,male,46,26.0,S,Mr,1
399,0,2,male,23,10.5,S,Dr,1
400,1,2,female,28,12.65,S,Mrs,1
401,1,3,male,39,7.925,S,Mr,1
402,0,3,male,26,8.05,S,Mr,1
403,0,3,female,21,9.825,S,Miss,2
404,0,3,male,28,15.85,S,Mr,2
405,0,3,female,20,8.6625,S,Miss,1
406,0,2,male,34,21.0,S,Mr,2
407,0,3,male,51,7.75,S,Mr,1
408,1,2,male,3,18.75,S,Master,3
409,0,3,male,21,7.775,S,Mr,1
410,0,3,female,21,25.4667,S,Miss,5
411,0,3,male,26,7.8958,S,Mr,1
412,0,3,male,26,6.8583,Q,Mr,1
413,1,1,female,33,90.0,Q,Miss,2
414,0,2,male,30,0.0,S,Mr,1
415,1,3,male,44,7.925,S,Mr,1
416,0,3,female,21,8.05,S,Mrs,1
417,1,2,female,34,32.5,S,Mrs,3
418,1,2,female,18,13.0,S,Miss,3
419,0,2,male,30,13.0,S,Mr,1
420,0,3,female,10,24.15,S,Miss,3
421,0,3,male,26,7.8958,C,Mr,1
422,0,3,male,21,7.7333,Q,Mr,1
423,0,3,male,29,7.875,S,Mr,1
424,0,3,female,28,14.4,S,Mrs,3
425,0,3,male,18,20.2125,S,Mr,3
426,0,3,male,26,7.25,S,Mr,1
427,1,2,female,28,26.0,S,Mrs,2
428,1,2,female,19,26.0,S,Miss,1
429,0,3,male,26,7.75,Q,Mr,1
430,1,3,male,32,8.05,S,Mr,1
431,1,1,male,28,26.55,S,Mr,1
432,1,3,female,21,16.1,S,Mrs,2
433,1,2,female,42,26.0,S,Mrs,2
434,0,3,male,17,7.125,S,Mr,1
435,0,1,male,50,55.9,S,Mr,2
436,1,1,female,14,120.0,S,Miss,4
437,0,3,female,21,34.375,S,Miss,5
438,1,2,female,24,18.75,S,Mrs,6
439,0,1,male,64,263.0,S,Mr,6
440,0,2,male,31,10.5,S,Mr,1
441,1,2,female,45,26.25,S,Mrs,3
442,0,3,male,20,9.5,S,Mr,1
443,0,3,male,25,7.775,S,Mr,2
444,1,2,female,28,13.0,S,Ms,1
445,1,3,male,26,8.1125,S,Mr,1
446,1,1,male,4,81.8583,S,Master,3
447,1,2,female,13,19.5,S,Miss,2
448,1,1,male,34,26.55,S,Mr,1
449,1,3,female,5,19.2583,C,Miss,4
450,1,1,male,52,30.5,S,Major,1
451,0,2,male,36,27.75,S,Mr,4
452,0,3,male,26,19.9667,S,Mr,2
453,0,1,male,30,27.75,C,Mr,1
454,1,1,male,49,89.1042,C,Mr,2
455,0,3,male,26,8.05,S,Mr,1
456,1,3,male,29,7.8958,C,Mr,1
457,0,1,male,65,26.55,S,Mr,1
458,1,1,female,34,51.8625,S,Mrs,2
459,1,2,female,50,10.5,S,Miss,1
460,0,3,male,26,7.75,Q,Mr,1
461,1,1,male,48,26.55,S,Mr,1
462,0,3,male,34,8.05,S,Mr,1
463,0,1,male,47,38.5,S,Mr,1
464,0,2,male,48,13.0,S,Mr,1
465,0,3,male,26,8.05,S,Mr,1
466,0,3,male,38,7.05,S,Mr,1
467,0,2,male,30,0.0,S,Mr,1
468,0,1,male,56,26.55,S,Mr,1
469,0,3,male,26,7.725,Q,Mr,1
470,1,3,female,0,19.2583,C,Miss,4
471,0,3,male,26,7.25,S,Mr,1
472,0,3,male,38,8.6625,S,Mr,1
473,1,2,female,33,27.75,S,Mrs,4
474,1,2,female,23,13.7917,C,Mrs,1
475,0,3,female,22,9.8375,S,Miss,1
476,0,1,male,41,52.0,S,Mr,1
477,0,2,male,34,21.0,S,Mr,2
478,0,3,male,29,7.0458,S,Mr,2
479,0,3,male,22,7.5208,S,Mr,1
480,1,3,female,2,12.2875,S,Miss,2
481,0,3,male,9,46.9,S,Master,8
482,0,2,male,30,0.0,S,Mr,1
483,0,3,male,50,8.05,S,Mr,1
484,1,3,female,63,9.5875,S,Mrs,1
485,1,1,male,25,91.0792,C,Mr,2
486,0,3,female,21,25.4667,S,Miss,5
487,1,1,female,35,90.0,S,Mrs,2
488,0,1,male,58,29.7,C,Mr,1
489,0,3,male,30,8.05,S,Mr,1
490,1,3,male,9,15.9,S,Master,3
491,0,3,male,26,19.9667,S,Mr,2
492,0,3,male,21,7.25,S,Mr,1
493,0,1,male,55,30.5,S,Mr,1
494,0,1,male,71,49.5042,C,Mr,1
495,0,3,male,21,8.05,S,Mr,1
496,0,3,male,26,14.4583,C,Mr,1
497,1,1,female,54,78.2667,C,Miss,2
498,0,3,male,26,15.1,S,Mr,1
499,0,1,female,25,151.55,S,Mrs,4
500,0,3,male,24,7.7958,S,Mr,1
501,0,3,male,17,8.6625,S,Mr,1
502,0,3,female,21,7.75,Q,Miss,1
503,0,3,female,21,7.6292,Q,Miss,1
504,0,3,female,37,9.5875,S,Miss,1
505,1,1,female,16,86.5,S,Miss,1
506,0,1,male,18,108.9,C,Mr,2
507,1,2,female,33,26.0,S,Mrs,3
508,1,1,male,41,26.55,S,Mr,1
509,0,3,male,28,22.525,S,Mr,1
510,1,3,male,26,56.4958,S,Mr,1
511,1,3,male,29,7.75,Q,Mr,1
512,0,3,male,26,8.05,S,Mr,1
513,1,1,male,36,26.2875,S,Mr,1
514,1,1,female,54,59.4,C,Mrs,2
515,0,3,male,24,7.4958,S,Mr,1
516,0,1,male,47,34.0208,S,Mr,1
517,1,2,female,34,10.5,S,Mrs,1
518,0,3,male,26,24.15,Q,Mr,1
519,1,2,female,36,26.0,S,Mrs,2
520,0,3,male,32,7.8958,S,Mr,1
521,1,1,female,30,93.5,S,Miss,1
522,0,3,male,22,7.8958,S,Mr,1
523,0,3,male,26,7.225,C,Mr,1
524,1,1,female,44,57.9792,C,Mrs,2
525,0,3,male,26,7.2292,C,Mr,1
526,0,3,male,40,7.75,Q,Mr,1
527,1,2,female,50,10.5,S,Miss,1
528,0,1,male,41,221.7792,S,Mr,1
529,0,3,male,39,7.925,S,Mr,1
530,0,2,male,23,11.5,S,Mr,4
531,1,2,female,2,26.0,S,Miss,3
532,0,3,male,26,7.2292,C,Mr,1
533,0,3,male,17,7.2292,C,Mr,3
534,1,3,female,21,22.3583,C,Mrs,3
535,0,3,female,30,8.6625,S,Miss,1
536,1,2,female,7,26.25,S,Miss,3
537,0,1,male,45,26.55,S,Major,1
538,1,1,female,30,106.425,C,Miss,1
539,0,3,male,26,14.5,S,Mr,1
540,1,1,female,22,49.5,C,Miss,3
541,1,1,female,36,71.0,S,Miss,3
542,0,3,female,9,31.275,S,Miss,7
543,0,3,female,11,31.275,S,Miss,7
544,1,2,male,32,26.0,S,Mr,2
545,0,1,male,50,106.425,C,Mr,2
546,0,1,male,64,26.0,S,Mr,1
547,1,2,female,19,26.0,S,Mrs,2
548,1,2,male,30,13.8625,C,Mr,1
549,0,3,male,33,20.525,S,Mr,3
550,1,2,male,8,36.75,S,Master,3
551,1,1,male,17,110.8833,C,Mr,3
552,0,2,male,27,26.0,S,Mr,1
553,0,3,male,26,7.8292,Q,Mr,1
554,1,3,male,22,7.225,C,Mr,1
555,1,3,female,22,7.775,S,Miss,1
556,0,1,male,62,26.55,S,Mr,1
557,1,1,female,48,39.6,C,Lady,2
558,0,1,male,41,227.525,C,Mr,1
559,1,1,female,39,79.65,S,Mrs,3
560,1,3,female,36,17.4,S,Mrs,2
561,0,3,male,26,7.75,Q,Mr,1
562,0,3,male,40,7.8958,S,Mr,1
563,0,2,male,28,13.5,S,Mr,1
564,0,3,male,26,8.05,S,Mr,1
565,0,3,female,21,8.05,S,Miss,1
566,0,3,male,24,24.15,S,Mr,3
567,0,3,male,19,7.8958,S,Mr,1
568,0,3,female,29,21.075,S,Mrs,5
569,0,3,male,26,7.2292,C,Mr,1
570,1,3,male,32,7.8542,S,Mr,1
571,1,2,male,62,10.5,S,Mr,1
572,1,1,female,53,51.4792,S,Mrs,3
573,1,1,male,36,26.3875,S,Mr,1
574,1,3,female,21,7.75,Q,Miss,1
575,0,3,male,16,8.05,S,Mr,1
576,0,3,male,19,14.5,S,Mr,1
577,1,2,female,34,13.0,S,Miss,1
578,1,1,female,39,55.9,S,Mrs,2
579,0,3,female,21,14.4583,C,Mrs,2
580,1,3,male,32,7.925,S,Mr,1
581,1,2,female,25,30.0,S,Miss,3
582,1,1,female,39,110.8833,C,Mrs,3
583,0,2,male,54,26.0,S,Mr,1
584,0,1,male,36,40.125,C,Mr,1
585,0,3,male,26,8.7125,C,Mr,1
586,1,1,female,18,79.65,S,Miss,3
587,0,2,male,47,15.0,S,Mr,1
588,1,1,male,60,79.2,C,Mr,3
589,0,3,male,22,8.05,S,Mr,1
590,0,3,male,26,8.05,S,Mr,1
591,0,3,male,35,7.125,S,Mr,1
592,1,1,female,52,78.2667,C,Mrs,2
593,0,3,male,47,7.25,S,Mr,1
594,0,3,female,21,7.75,Q,Miss,3
595,0,2,male,37,26.0,S,Mr,2
596,0,3,male,36,24.15,S,Mr,3
597,1,2,female,28,33.0,S,Miss,1
598,0,3,male,49,0.0,S,Mr,1
599,0,3,male,26,7.225,C,Mr,1
600,1,1,male,49,56.9292,C,Sir,2
601,1,2,female,24,27.0,S,Mrs,4
602,0,3,male,26,7.8958,S,Mr,1
603,0,1,male,41,42.4,S,Mr,1
604,0,3,male,44,8.05,S,Mr,1
605,1,1,male,35,26.55,C,Mr,1
606,0,3,male,36,15.55,S,Mr,2
607,0,3,male,30,7.8958,S,Mr,1
608,1,1,male,27,30.5,S,Mr,1
609,1,2,female,22,41.5792,C,Mrs,4
610,1,1,female,40,153.4625,S,Miss,1
611,0,3,female,39,31.275,S,Mrs,7
612,0,3,male,26,7.05,S,Mr,1
613,1,3,female,21,15.5,Q,Miss,2
614,0,3,male,26,7.75,Q,Mr,1
615,0,3,male,35,8.05,S,Mr,1
616,1,2,female,24,65.0,S,Miss,4
617,0,3,male,34,14.4,S,Mr,3
618,0,3,female,26,16.1,S,Mrs,2
619,1,2,female,4,39.0,S,Miss,4
